symbol,tp_atr,sl_atr,conf_floor,trades,win_rate,profit_factor,expectancy_atr,total_return_percent
ARBUSDT,2.5,1.0,0.36,705,0.3872,0.8345478157429441,-0.1866,-158.09
ARBUSDT,2.5,1.0,0.4,191,0.4188,0.6588188886717409,-0.4935,-135.01
ARBUSDT,2.5,1.0,0.44,83,0.4217,0.47298516012278236,-1.2121,-137.49
ARBUSDT,2.5,1.0,0.48,24,0.4167,0.44413652332026443,-1.1788,-47.48
ARBUSDT,2.5,1.0,0.52,9,0.3333,0.21612936389979295,-2.1995,-54.08
ARBUSDT,2.5,1.0,0.56,3,0.3333,1.823790807822132,0.2455,1.74
ARBUSDT,3.0,1.0,0.36,26,0.5,0.5759606094872601,-1.3502,-42.91
ARBUSDT,3.0,1.0,0.4,10,0.4,0.3054393260043637,-1.4232,-31.63
ARBUSDT,3.0,1.0,0.44,6,0.3333,1.1907134754272226,0.0417,1.09
ARBUSDT,3.0,1.0,0.48,4,0.25,0.629873514810913,-0.2191,-1.99
ARBUSDT,3.0,1.0,0.52,0,0.0,,0.0,0.0
ARBUSDT,3.0,1.5,0.36,182,0.5275,0.8858053409924708,-0.2422,-41.76
ARBUSDT,3.0,1.5,0.4,70,0.5286,0.5786087708351386,-1.1983,-100.77
ARBUSDT,3.0,1.5,0.44,24,0.75,0.7324981086926239,-1.1127,-27.03
ARBUSDT,3.0,1.5,0.48,10,0.3,0.054477836333548815,-10.7389,-190.71
ARBUSDT,3.0,1.5,0.52,3,0.3333,0.03193179644773711,-16.5427,-75.08
ARBUSDT,3.0,1.5,0.56,2,0.5,0.7870716455597212,-0.0209,-0.54
ARBUSDT,4.0,1.5,0.36,20,0.7,0.6869815334327701,-1.4147,-33.13
ARBUSDT,4.0,1.5,0.4,7,0.4286,0.28440419892697083,-2.0562,-38.72
ARBUSDT,4.0,1.5,0.44,3,0.6667,0.5736658500630069,-1.7346,-6.61
ARBUSDT,4.0,1.5,0.48,1,1.0,,3.8243,5.57
AVAXUSDT,1.5,1.0,0.36,2076,0.4056,0.6808660985784806,-0.2777,-590.38
AVAXUSDT,1.5,1.0,0.4,1945,0.4067,0.6598846282931641,-0.294,-593.98
AVAXUSDT,1.5,1.0,0.44,653,0.4548,0.583271631959562,-0.4157,-289.32
AVAXUSDT,1.5,1.0,0.48,202,0.4455,0.47554781229997606,-0.7974,-149.55
AVAXUSDT,1.5,1.0,0.52,61,0.3279,0.20840568245798938,-1.8428,-117.06
AVAXUSDT,1.5,1.0,0.56,22,0.5,1.0884221451382445,-0.4873,2.06
AVAXUSDT,2.0,1.0,0.36,821,0.3922,0.6657953486420632,-0.3556,-290.67
AVAXUSDT,2.0,1.0,0.4,203,0.4433,0.49082510457180945,-0.7402,-166.14
AVAXUSDT,2.0,1.0,0.44,73,0.4384,0.4306566997452221,-1.238,-83.48
AVAXUSDT,2.0,1.0,0.48,24,0.4583,0.4663141721859828,-1.8935,-30.89
AVAXUSDT,2.0,1.0,0.52,9,0.6667,3.311878858139345,0.4096,11.95
AVAXUSDT,2.0,1.0,0.56,1,0.0,0.0,-0.3813,-0.66
AVAXUSDT,2.0,1.5,0.36,1310,0.4221,0.7188978522670915,-0.3109,-428.99
AVAXUSDT,2.0,1.5,0.4,1234,0.423,0.6948621650752214,-0.3373,-434.33
AVAXUSDT,2.0,1.5,0.44,727,0.4539,0.6743491739325582,-0.3765,-282.84
AVAXUSDT,2.0,1.5,0.48,222,0.464,0.476373273009172,-0.8089,-190.82
AVAXUSDT,2.0,1.5,0.52,64,0.5156,0.37841479737597367,-1.491,-83.91
AVAXUSDT,2.0,1.5,0.56,19,0.5789,0.3670212759170623,-2.707,-41.45
AVAXUSDT,2.5,1.0,0.36,715,0.3371,0.6638854127061359,-0.4098,-287.92
AVAXUSDT,2.5,1.0,0.4,197,0.4315,0.5829682085771204,-0.651,-137.12
AVAXUSDT,2.5,1.0,0.44,72,0.4028,0.49346114792100104,-1.3478,-79.74
AVAXUSDT,2.5,1.0,0.48,26,0.4231,0.49326066823019715,-1.8474,-35.4
AVAXUSDT,2.5,1.0,0.52,9,0.6667,4.199574343530756,0.7426,16.54
AVAXUSDT,2.5,1.0,0.56,1,0.0,0.0,-0.3813,-0.66
AVAXUSDT,3.0,1.0,0.36,27,0.4815,0.5443498278365912,-1.9049,-38.54
AVAXUSDT,3.0,1.0,0.4,10,0.5,0.5891265704968188,-1.3723,-12.87
AVAXUSDT,3.0,1.0,0.44,5,0.4,0.7073342072754322,-0.6629,-1.5
AVAXUSDT,3.0,1.0,0.48,1,0.0,0.0,-0.3813,-0.66
AVAXUSDT,3.0,1.5,0.36,211,0.4218,0.6073752435401842,-0.6005,-141.94
AVAXUSDT,3.0,1.5,0.4,80,0.475,0.6379365953671131,-0.9216,-57.99
AVAXUSDT,3.0,1.5,0.44,31,0.4516,0.3968993897160487,-1.6085,-51.03
AVAXUSDT,3.0,1.5,0.48,12,0.5833,0.7971804946333971,-0.2784,-5.3
AVAXUSDT,3.0,1.5,0.52,4,0.5,1.0144194652392398,-0.5252,0.06
AVAXUSDT,3.0,1.5,0.56,0,0.0,,0.0,0.0
AVAXUSDT,4.0,1.5,0.36,27,0.4815,0.5304239501421208,-1.8891,-42.9
AVAXUSDT,4.0,1.5,0.4,7,0.4286,0.4457694858148187,-1.9001,-12.62
AVAXUSDT,4.0,1.5,0.44,4,0.5,1.7864539201548937,0.0435,3.05
AVAXUSDT,4.0,1.5,0.48,0,0.0,,0.0,0.0
BCHUSDT,1.5,1.0,0.36,2014,0.4071,0.6424292564467562,-0.3238,-574.05
